trandate,AvgSale
2024-02-17,187.166016918007
2024-02-18,178.692410188457
2024-02-19,187.849503246251
2024-02-20,180.814309638029
2024-02-21,188.679697846959
2024-02-22,183.639696186117
2024-02-23,180.724334722601
2024-02-24,179.05600592225
2024-02-25,177.78760675205
2024-02-26,188.348287130003
2024-02-27,182.980956558773
2024-02-28,184.337483254256
2024-02-29,189.769629008152
2024-03-01,185.392089401732
2024-03-02,184.24555796586
2024-03-03,175.829515758037
2024-03-04,195.972082198311
2024-03-05,186.071935039644
2024-03-06,193.293125799731
2024-03-07,192.007190852667
2024-03-08,186.58588568507
2024-03-09,176.210693814304
2024-03-10,182.714560690259
2024-03-11,187.318220840605
2024-03-12,188.973530222921
2024-03-13,194.878148286937
2024-03-14,189.449575407292
2024-03-15,180.651831357838
